하차정류장ID,하차정류장명,위도_y,경도_y,승객수
9444,세이브마트앞,37.473958333333336,126.91743333333334,18
9449,보라매공원입구,37.48920333333333,126.91748,2
9461,대윤병원,37.514525000000006,126.91814833333336,10
9466,세이브마트앞,37.47386166666667,126.91803666666668,1
9474,이마트.은평점,37.600053333333335,126.91858666666668,1
9476,호림박물관,37.48272333333333,126.91837666666667,1
9477,은평문화예술정보학교,37.58882166666667,126.91862166666668,3
9482,연가초.연희중.래미안클라시스,37.57895666666666,126.91806666666668,2
9484,남강중고등학교입구,37.47255833333334,126.91914666666668,19
9485,한경협회관,37.52189166666667,126.91885833333332,239
9488,은평문화예술정보학교,37.58889333333333,126.91889833333336,1
9530,벽산아파트1단지.호압사입구,37.452785,126.92084666666666,1
9531,남서울중학교.성보중고등학교,37.482816666666665,126.92101166666669,106
9532,서부경찰서,37.60136666666666,126.92059166666668,1
9535,대방초등학교,37.50236833333334,126.920975,5
9542,서울공업고등학교,37.500011666666666,126.92164333333334,1
9543,산복터널.관악산휴먼시아2단지,37.45869666666667,126.92201500000002,1
9553,서울지방병무청,37.505071666666666,126.92210500000002,12
9554,해주드림빌APT,37.60416166666666,126.92203333333332,1
9558,남부초등학교,37.483405,126.922045,6
9559,서울공업고등학교,37.499775,126.92233666666668,45
9567,연서시장,37.61921666666667,126.92250666666664,3
9568,명지대사거리국민은행앞,37.57760666666666,126.92241333333337,20
9572,둔전초등학교,37.36161333333334,126.92312666666666,1
9578,여의도순복음교회,37.531690000000005,126.92293166666666,45
9584,명지전문대.충암중고등학교,37.58466666666666,126.923595,7
9595,공군호텔,37.50993833333334,126.92411166666668,21
9597,명지전문대.충암중고등학교,37.58466833333333,126.92395833333332,16
9614,여의도역,37.52061333333334,126.92492,25
9617,삼성산주공아파트,37.46109,126.92506833333331,1
9618,백련시장,37.57709166666667,126.92470166666664,5
9619,백련시장,37.57669666666666,126.92496,2
9623,롯데관악점,37.48973,126.92516166666668,4
9625,삼성산주공아파트,37.461345,126.92510833333333,1
9633,명지중고등학교,37.58293333333334,126.925685,19
9635,롯데관악점,37.49013,126.92570666666668,14
9643,대림초등학교,37.49966,126.92648833333332,13
